Supercategory,Category,Subcategory,Label,Value,Value Type,Audience,Required,Details,Source URL
Undergraduate,Admission Requirements,Application Review,Teacher Recommendation,Required,Text,All,Yes,"At least one, preferably from someone who knows the student well",https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Admission Requirements,Transfer,Minimum Credits,12,Number,Transfer,Yes,"Post-secondary, college-level coursework",https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Admission Requirements,Transfer,Matriculated College Student,Yes,Boolean,Transfer,Yes,Must have been enrolled as full-time degree-seeking student,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Admission Requirements,Transfer,Completed High School Credential,Yes,Boolean,Transfer,Yes,"High School diploma, GED, or equivalent",https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Academic Criteria,GPA,Average High School GPA,3.68,Number,First-Year,N/A,Mid-range of accepted students,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Academic Criteria,SAT,Mid 50% SAT Range,1300–1440,Range,First-Year,No,For those who submit SAT scores,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Academic Criteria,ACT,Mid 50% ACT Range,29–33,Range,First-Year,No,For those who submit ACT scores,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Academic Criteria,Coursework,English,4 years,Number,First-Year,Recommended,High school curriculum recommendation,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Academic Criteria,Coursework,"Math, Science, Social Science",3 years each,Number,First-Year,Recommended,,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Academic Criteria,Coursework,Foreign Language,2 years,Number,First-Year,Recommended,American Sign Language also accepted,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Scholarship Opportunities,Merit Scholarships,Presidential Scholarship,Full tuition,Text,First-Year,No,For top ~5 exceptional applicants each year,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Cost Information,Tuition,Tuition,"$59,680 ",Currency,All,Yes,For academic year 2025–2026,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Cost Information,Financial Aid,FAFSA Code,2139,Text,U.S. Citizens,Yes,Required for federal aid,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Cost Information,Financial Aid,CSS Profile Code,3279,Text,All Applicants,Yes,Required for institutional need-based aid,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Application Process,Application Review,Test-Optional Policy,Yes,Boolean,First-Year,No,Students may submit SAT/ACT but are not required to,https://clarku.edu/cost
Undergraduate,Application Process,Requirement,Transcript(s),Required,Text,All,Yes,High school or college transcripts,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Process,Transfer,Clark Transfer App,Available,Text,Transfer,Optional,Submit only one application platform,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Application Process,Transfer,Transfer Common App,Available,Text,Transfer,Optional,Submit only one application platform,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Application Process,Transfer,Application (Common or Clark),Required,Text,Transfer,Yes,Choose one platform,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Application Process,Transfer,Applicant Status Page,Available,Text,Transfer,Yes,"Used to check status, review missing documents, and receive updates",https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Application Process,Transfer,Incomplete Applications,May be Withdrawn,Text,Transfer,Yes,Applicant will be notified before being withdrawn due to missing materials,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Supporting Documents,Involvement,Community or Extracurricular,Considered,Text,All,No,"Family, part-time jobs, sports, clubs, etc. are valued",https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Supporting Documents,Interview,Optional Interview,Recommended,Text,All,No,Especially helpful for international students,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Supporting Documents,Transfer,Letter of Recommendation,Required,Text,Transfer,Yes,Preferably from recent faculty; alternate options accepted,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Supporting Documents,Transfer,Mid-Term Report,Conditional,Text,Transfer,Conditional,Required only for students in first full-time semester,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Supporting Documents,Transfer,Final High School Transcript,Required,Text,Transfer,Yes,Unofficial accepted for admission; official required for enrollment,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Supporting Documents,Transfer,College Transcripts,Required,Text,Transfer,Yes,From all institutions attended,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Supporting Documents,Transfer,College Report Form,Required,Text,Transfer,Yes,From registrar or dean of most recent college,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Supporting Documents,Transfer,SAT/ACT,Optional,Text,Transfer,No,Test-optional policy,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Supporting Documents,International,Proof of English Proficiency,Required,Text,Intl Transfer,Yes,If English is not the native language,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Supporting Documents,International,Foreign Credential Evaluation,Required,Text,Intl Transfer,Yes,Must be course-by-course; determines GPA and course transfer eligibility,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Supporting Documents,International,National Exam Results,Optional,Text,Intl Transfer,No,"A Levels, CBSE, WASSCE, CAPE, etc. accepted if submitted",https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Contact/Support Info,Counselor Support,Reach out to counselor,Encouraged,Text,All,No,"For questions, support, and guidance during the process",https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Additional Info,Transfer,Part-Time Study,Not Accepted,Text,Transfer,No,Must apply for full-time; part-time via School of Professional Studies,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Additional Info,Transfer,Second Bachelor's Degree,No Aid,Text,Transfer,No,Students pursuing a second BA not eligible for financial aid,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Additional Info,Transfer,On-Campus Housing,Available,Text,Transfer,No,Required through end of sophomore year,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Additional Info,Transfer,Poor High School GPA,Case-by-case,Text,Transfer,No,Required through end of sophomore year,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Additional Info,Transfer,Poor High School GPA,Case-by-case,Text,Transfer,No,Must complete 1 year of college courses if GPA < 2.5,https://www.clarku.edu/undergraduate-admissions/apply/transfer-students/
Undergraduate,Application Process,Application Method,Clark Transfer App Link,Available,Text,Transfer,Optional,Direct link to Clark’s transfer application,https://apply.clarku.edu/apply/?sr=263d494a-5671-47b7-b009-c8705b1d5674
Undergraduate,Application Process,Application Method,Transfer Common App Link,Available,Text,Transfer,Optional,Direct link to Common App for transfers,https://apply.transfer.commonapp.org/applicant-ux/?tref=3003#/login
Undergraduate,Application Deadlines,Spring Admission,Application Deadline,1-Nov,Date,First-Year,No,For spring semester entry; U.S. or international,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Admission Requirements,Diploma,High School Diploma or GED,Required,Text,First-Year,Yes,Minimum requirement for admission,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Academic Criteria,Credit,AP Credit,1 unit,Text,First-Year,No,For scores of 4 or 5 on CEEB AP exam; max 8 units with college credit,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Academic Criteria,Credit,College Credit,C or better,Text,First-Year,No,Before matriculation; max 8 units,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Academic Criteria,Coursework,Electives,Additional,Text,First-Year,Recommended,Based on interests and goals,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Scholarship Opportunities,Merit-Based,Clark Merit Scholarships,Available,Text,All,No,"Based on academics, achievements, talents; no separate application",https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Scholarship Opportunities,Merit-Based,Private Scholarships,Available,Text,All,No,"Offered by local, statewide, national organizations",https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Scholarship Opportunities,Regional,Regional Incentive Grant,Available,Text,Fall 2025 Applicants,No,"For students from CA, CO, FL, IL, OR, TX, WA",https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Tuition and Fees,Room (Standard Double),"$8,250 ",Currency,All,Yes,Standard double room cost,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Tuition and Fees,Board (Standard Plan),"$5,450 ",Currency,All,Yes,Standard meal plan cost,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Tuition and Fees,Student Activity & Programming Fee,$440 ,Currency,All,Yes,Covers student activities and programming,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Tuition and Fees,Orientation Fee,$400 ,Currency,All,Yes,One-time fee for new students,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Tuition and Fees,Health and Wellness Fee,$620 ,Currency,All,Yes,Supports health services,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Tuition and Fees,Total Billed Charges,"$74,840 ",Currency,All,Yes,"Sum of tuition, room, board, and fees",https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Other Expenses,Transportation Allowance,$250 ,Currency,All,No,Estimated travel cost,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Other Expenses,Books (Estimated),$900 ,Currency,All,No,Estimated cost for books,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Other Expenses,Miscellaneous (Estimated),$800 ,Currency,All,No,Estimated personal expenses,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Other Expenses,Health Insurance,"$2,495 ",Currency,All,Conditional,Required unless proof of comparable U.S.-approved coverage provided,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Other Expenses,Total Estimated Costs,"$79,285 ",Currency,All,No,Total with all possible expenses,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Financial Aid Stats,Percent Receiving Need-Based Aid,70%,Percentage,First-Year,N/A,70% of first-year students receive need-based aid,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Financial Aid Stats,Average Financial Aid Package,"$44,951 ",Currency,All,N/A,Average aid package for students,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Financial Aid Stats,Percent Grants,88%,Percentage,All,N/A,88% of aid is grants (no repayment),https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Financial Aid Stats,Percent Receiving Aid,95%,Percentage,All,N/A,Over 95% of students receive some form of aid,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Need-Based,FAFSA,Required,Text,U.S. Citizens,Conditional,Code: 002139; for federal aid; apply early,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Need-Based,CSS Profile,Required,Text,All,Conditional,Code: 3279; for institutional aid; Non-Custodial Profile not required,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Cost Information,Student Employment,Student Employment,Available,Text,All,No,On-campus or local jobs; Federal Work-Study if qualified,https://www.clarku.edu/undergraduate-admissions/cost-and-financial-aid/
Undergraduate,Application Process,Application Method,Common Application,Available,Text,First-Year,Optional,Choose one: Common App or Coalition App; no fee,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Process,Application Method,Coalition App with Scoir,Available,Text,First-Year,Optional,Choose one: Common App or Coalition App; no fee,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Process,Waitlist,Waitlist Response,Yes,Text,All,Conditional,Respond “yes” and email counselor to stay active,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Process,FAQ,Application Deadline Flexibility,Partial,Text,All,No,Main app by deadline; other materials can be late but encouraged on time,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Process,FAQ,Decision Release,Portal,Text,All,No,"Decisions via applicant portal, not phone",https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Application Process,FAQ,Deferral Policy,Up to 1 year,Text,First-Year,Conditional,Request by May 1 with deposit; no degree-seeking enrollment elsewhere,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Contact/Support Info,Admissions Office,Office Location,"3 Maywood Street, Worcester, MA 01610",Text,All,No,Undergraduate Admissions office location,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Contact/Support Info,Admissions Office,Phone Number,1-508-793-7431,Text,All,No,Admissions office contact,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Contact/Support Info,Admissions Office,Email,admissions@clarku.edu,Text,All,No,General admissions inquiries,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Contact/Support Info,Admissions Office,Status Check Phone,1-800-462-5275,Text,All,No,For application status questions,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Contact/Support Info,Admissions Office,Office Hours,"8:30 a.m. – 5 p.m., Mon-Fri",Text,All,No,Plus selected Saturdays in Fall and Spring,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Contact/Support Info,University Contact,Main Phone Number,508-793-7711,Text,All,No,General university contact,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Contact/Support Info,University Contact,Main Address,"950 Main Street, Worcester, MA 01610",Text,All,No,University address,https://www.clarku.edu/undergraduate-admissions/application-process/
Undergraduate,Contact/Support Info,Group Visit Contact,Group Visit Email,groupvisits@clarku.edu,Text,All,No,For scheduling group visits,https://www.clarku.edu/undergraduate-admissions/visit/
Undergraduate,Application Encouragement,Campus Visit,Campus Tour,Available,Text,All,No,"Visit residence halls, dining halls, classrooms, athletic center",https://www.clarku.edu/undergraduate-admissions/visit/
Undergraduate,Application Encouragement,Campus Visit,Information Session,Available,Text,All,No,Connect with counselors and students,https://www.clarku.edu/undergraduate-admissions/visit/
Undergraduate,Application Encouragement,Campus Visit,Special Events,Available,Text,All,No,"Specialty tours, sit in on classes, etc.",https://www.clarku.edu/undergraduate-admissions/visit/
Undergraduate,Application Encouragement,Virtual Visit,Virtual Information Session,Available,Text,All,No,"Overview of Clark education: liberal arts, research, hands-on learning",https://www.clarku.edu/undergraduate-admissions/visit/
Undergraduate,Application Encouragement,Virtual Visit,Interactive Campus Map,Available,Text,All,No,Explore Clark virtually,https://www.clarku.edu/undergraduate-admissions/visit/
Undergraduate,Application Encouragement,Group Visit,Group Visits,Available,Text,All,No,Schedule 30 days in advance; 1 chaperone per 10 students,https://www.clarku.edu/undergraduate-admissions/visit/
Undergraduate,Application Encouragement,Counselor Visit,School Counselor Visits,Available,Text,Counselors,No,Meet admissions staff; register or email admissions@clarku.edu,https://www.clarku.edu/undergraduate-admissions/visit/
